,rouge1,rouge2,rougeL,bert_score
global,0.4091338647028827,0.15522700021606992,0.19931883097230327,0.832454941868782
facts_of_the_case,0.17491899136345182,0.025782485071900955,0.09965116867983087,0.7923703026771546
question,0.05092333306949122,0.00736011025381529,0.038815327716732594,0.7888192445039749
conclusion,0.1377739834622523,0.024751640902508004,0.0851222499107421,0.795342652797699
