,rouge1,rouge2,rougeL,bert_score
global,0.39613927637745255,0.13928972912037937,0.22318832235545827,0.8344870311021805
facts_of_the_case,0.29692432089198945,0.04580178012473012,0.19625816788980646,0.805081222653389
question,0.3370893323054959,0.04499584098435436,0.27433636679563284,0.80067103266716
conclusion,0.3426246236424506,0.07072658643147654,0.2415600272528149,0.8094769877195358
